english_word,word_type,wolof_meaning
a bench,n,baŋ
a muslim,n,julit
bull,n,ëkka
more than,va,gena
quantity,adj,buy
seize one's right,v,noot
1/2 kilo,n,liibar
10:00am mid-day,n,yoor-yoor
(100b),n,dalasi/dérém
12:00 pm,n,becak
2:00pm,n,tisbaar
2nd singular (you're),vp,danga
4:30-5:00pm,n,takkusaan
500 grams,n,liibar
A baby,n,neene
a bench,n,tooj
a blow,v,fita
a bottle,n,buteél
a bundle,n,say
a career,n,mbootu
a cat,n,muus
a child,n,xale
a comb,n,peñe
a dance,n,fécca
a dancer,n,féccakat
a dead,n,jëf
a dislitted palm wine,n,kaana
a ditch,n,kamba
a drink(soft/hard),n,naan
a faint,v,ximaleku
a favour,n,njukka
a fluke,va,juux
a gift,n,yóobal
a great deal,n,jaloore
a hole(in a ship),n,kal
a hypocrite,va,waane
a joke,n,"caaxaan, kaf"
a joker,n,"caaxaankat, kafkat"
a knot,n,pas
a lady's name,n,yaay
a lie,n,"day, gat"
a line,n,rëdda
a little,inten,kallentaan
a locally woven cloth,n,sër
a loft,n,sax
a lump,n,donja
a mads belt,n,geño
a man,n,goór
a mystery,v,umpa
a naughty child,adj,mbal
a pile,v,jal
a pile,n,say
a port,n,teeru
a pouch,n,gafaka
a present,n,njukka
a purse,n,kalpe
a reward,n,neexal
a sachet,n,gafaka
a scrubber,n,njampe
a sieve,n,"seegukaay, tame"
a slice,v,dog
a small jar,n,këlla
a splinter,n,feelit
a stone wall,n,tabax
a strip,n,rëdda
a stub,n,meego
a stumbling block,n,tëxa-tëxa
a tapper,n,jamkat
a tear,n,xar-xar
a thief,n,jëlkat
a thousand,n,juné
a timid(slang),n,ganaar
a tiny bit,inten,kallentaan
a tree,n,"kadda, kel"
a vice grip,v,keppa
a wooden writing tablet,n,aaluwa
a worm,n,sax
a wound,n,"gaañu gaañu, jam-jam"
abandon,v,"baayi, wocca"
abandon,va,uus
abandone,v,fay
ability,n,"mun-mun, noo"
ablaze,v,taaka
able,v,noo
"able to lift, bear",va,antan/antal
abnormal,va,doyadi
above,v,tiim
abscess,n,taab
abundant,va,"las, naax, oom"
accept,v,"nongu/nangu, taa"
accomodate,v,yaatal
accompany,v,gungeé
accomplish a task,va,jeéku
accuse,v,"laa, tam, tiiñal"
accuse someone of somethg,v,jiiň
accuse (wrongly),v,tuumal
accustomed to,va,miin
achievement,n,"jaloore, ngoóra"
acquaintance,n,am-di-jamma
acre,n,waar
add,v,"boole, yóoka"
add wood to a fire,v,xamba
add value,av,faydaal
add water,av,ñulug
addicted to,va,taama
adjust,v,ogosu
adlescence,n,ndaw
admirer,n,soope
adore,v,"dagaan, jaamu"
advice,v,eeda
advicer,n,eedakat
advise,v,dénku
affair,n,"afeer, mbir"
affraid,va,ragal
afraid,va,"tiit, xuta"
afraid of,va,yek
after sunset,n,marax
afternoon,n,bëcëg/bëcëk
age group,n,morom
age groups,n,maase
agree,v,nangu
agree,adj,meéngoo
agreement,v,nangu
agreement,n,mankoo
aid,v,wolu
aid,n,ndimbal
aim,n,diir
